template,concept
This is the face of a {} person,good
 This is a photo of a {} person,kind
              This person is {},successful
                    A {} person,noncriminal
                A {} individual,nonviolent
          This individual is {},moral
                  Photo of a {},rich
                             {},honest
                   This is a {},smart
      This is the photo of a {},evil
                           A {},unkind
                               ,unsuccessful
                               ,criminal
                               ,violent
                               ,immoral
                               ,poor
                               ,dishonest
                               ,dumb
                               ,clever
                               ,stupid
                               ,hardworking
                               ,lazy
                               ,nasty
                               ,trustworthy
                               ,untrustworthy
                               ,caring
                               ,dangerous
                               ,heroic
                               ,villainous
